,data_dias,horario_inicio,horario_intervalo_inicio,horario_intervalo_final,horario_saida
0,DATA,ENTRADA,INTERVALO SAIDA,INTERVALO ENTRADA,SAIDA
1,1/4/2024,07:59,14:42,15:42,17:06
2,2/4/2024,07:51,13:49,14:49,17:04
3,3/4/2024,07:54,14:34,15:34,17:09
4,4/4/2024,08:02,12:51,13:51,17:00
5,5/4/2024,07:56,13:14,14:14,17:01
6,6/4/2024,07:52,14:25,15:25,17:03
7,7/4/2024,07:55,13:36,14:36,17:02
8,8/4/2024,08:05,13:49,14:49,17:01
9,9/4/2024,07:52,14:55,15:55,17:04
10,10/4/2024,08:03,12:58,13:58,17:00
11,11/4/2024,07:54,12:39,13:39,17:02
12,12/4/2024,07:58,12:13,13:13,17:05
13,13/4/2024,08:02,14:16,15:16,17:06
14,14/4/2024,07:58,13:54,14:54,17:09
15,15/4/2024,08:02,12:13,13:13,17:01
16,16/4/2024,08:02,14:42,15:42,17:09
17,17/4/2024,07:55,13:29,14:29,17:05
18,18/4/2024,08:01,14:32,15:32,17:04
19,19/4/2024,07:57,13:10,14:10,17:04
20,20/4/2024,07:50,12:14,13:14,17:08
21,21/4/2024,07:55,14:35,15:35,17:02
22,22/4/2024,07:50,12:53,13:53,17:03
23,23/4/2024,07:59,12:39,13:39,17:00
24,24/4/2024,07:53,12:31,13:31,17:02
25,25/4/2024,07:58,14:53,15:53,17:01
26,26/4/2024,08:01,12:41,13:41,17:09
27,27/4/2024,07:58,13:35,14:35,17:05
28,28/4/2024,07:58,13:40,14:40,17:04
29,29/4/2024,08:03,12:22,13:22,17:08
30,30/4/2024,07:52,14:31,15:31,17:04
